      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CL1XG2C17A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C17A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C17A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C17A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C17A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C17A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C17B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C17B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C17B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C17B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C17B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C17B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C18A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C18A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C18A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C18A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C18A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C18A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C18B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C18B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C18B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C18B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C18B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C18B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C19A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C19A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C19A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C19A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C19A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C19A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C19B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C19B   5.090000e-04  SR-MG-CRR-1560-H 
